PAS gene loc
human1873 MFN2 utr3
human1877 MIIP utr3
human1952 TNFRSF8 utr3
human1985 TNFRSF1B utr3
chimp1558 LOC107984917 end
chimp1559 VPS13D cds
human2000 VPS13D cds
human2039 VPS13D utr3
human2041 VPS13D utr3
human2042 VPS13D utr3
human2044 DHRS3 utr3
human2045 DHRS3 intron
chimp1661 DHRS3 cds
human2058 PRDM2 intron
human2135 PRDM2 cds
human2142 PRDM2 utr3
human2143 PRDM2 utr3
human2166 PRDM2 utr3
human2242 KAZN intron
human2324 EFHD2 cds
human2325 EFHD2 utr3
human2328 EFHD2 utr3
human2333 CASP9 end
human2334 CASP9 end
human2336 CASP9 utr3
human2337 CASP9 intron
human2339 CASP9 intron
human2340 CASP9 intron
human2341 DNAJC16 utr5
human2342 DNAJC16 cds
chimp2088 DNAJC16 cds
human2345 SCARNA21B end
human2346 SCARNA21B end
human2347 SCARNA21B end
human2348 SCARNA21B end
chimp2093 SCARNA21B end
human2349 SCARNA21B end
human2358 DNAJC16 utr3
human2364 DNAJC16 utr3
human2377 DDI2 cds
human2383 DDI2 intron
human2384 DDI2 intron
human2385 DDI2 intron
human2387 DDI2 cds
human2391 DDI2 cds
human2395 DDI2 intron
human2414 PLEKHM2 intron
human2418 PLEKHM2 cds
human2424 PLEKHM2 utr3
human2460 SPEN cds
human2461 SPEN cds
human2466 SPEN cds
human2467 SPEN cds
human2474 SPEN cds
human2480 SPEN cds
human2481 SPEN cds
human2487 SPEN utr3
human2489 ZBTB17 utr3
human2501 ARHGEF19 utr3
human2502 ARHGEF19 utr3
human2503 ARHGEF19 cds
human2505 CPLANE2 end
human2506 CPLANE2 utr3
human2508 FBXO42 utr3
human2513 FBXO42 utr3
human2527 FBXO42 intron
human2537 FBXO42 intron
human2542 FBXO42 intron
human2547 SZRD1 cds
human2549 SZRD1 intron
human2557 SZRD1 cds
human2560 SZRD1 utr3
chimp2271 SZRD1 utr3
human2562 SZRD1 utr3
human2565 SZRD1 utr3
human2570 NECAP2 intron
human2575 NECAP2 cds
human2579 NECAP2 intron
human2580 NECAP2 intron
human2584 NECAP2 utr3
human2586 NECAP2 utr3
chimp2305 CROCCP3 utr3
human2598 CROCCP3 utr3
human2599 CROCCP3 intron
human2605 CROCCP3 intron
human2606 CROCCP3 intron
human2607 CROCCP3 intron
chimp2319 CROCCP3 intron
human2608 CROCCP3 intron
human2649 ATP13A2 utr3
human2651 ATP13A2 cds
human2653 SDHB utr3
human2654 SDHB intron
chimp2353 SDHB intron
human2661 SDHB intron
human2663 SDHB intron
human2665 SDHB intron
human2685 RCC2 utr3
human2686 RCC2 utr3
human2690 RCC2 utr3
human2691 RCC2 cds
human2707 ALDH4A1 utr3
human2709 IFFO2 utr3
chimp2397 IFFO2 cds
human2714 IFFO2 cds
human2715 IFFO2 cds
human2719 IFFO2 intron
human2722 UBR4 utr3
human2738 UBR4 cds
human2739 UBR4 cds
human2818 LOC101927895 intron
human2823 LOC101927895 intron
human2825 EMC1 utr3
chimp2500 LOC101927895 intron
human2828 EMC1 utr3
human2829 EMC1 utr3
human2830 EMC1 utr3
human2831 EMC1 utr3
human2834 LOC101927895 intron
human2837 LOC101927895 intron
human2847 EMC1 intron
chimp2516 MRTO4 cds
human2850 MRTO4 utr5
human2852 MRTO4 intron
human2856 MRTO4 utr3
human2858 MRTO4 utr3
human2859 MRTO4 utr3
human2873 AKR7A2 utr3
human2875 AKR7A2 intron
human2878 AKR7A2 intron
chimp2536 PQLC2 intron
human2882 PQLC2 utr3
human2886 CAPZB utr3
human2887 CAPZB utr3
human2891 CAPZB cds
human2892 CAPZB cds
human2893 CAPZB cds
human2916 CAPZB intron
human2929 CAPZB intron
human2938 CAPZB intron
human2940 CAPZB intron
human2952 MINOS1 cds
human2953 MINOS1-NBL1 intron
human2954 MINOS1-NBL1 intron
human2955 MINOS1-NBL1 intron
human2956 MINOS1-NBL1 intron
human2957 MINOS1-NBL1 intron
human2958 MINOS1-NBL1 intron
human2959 MINOS1-NBL1 intron
human2961 MINOS1-NBL1 intron
human2964 RPS14P3 utr5
human2965 RPS14P3 end
human2967 RPS14P3 end
human2973 MINOS1 cds
human2975 MINOS1 utr3
human3014 OTUD3 cds
human3016 OTUD3 cds
human3017 OTUD3 intron
human3018 OTUD3 cds
human3023 OTUD3 utr3
human3031 MUL1 utr3
human3039 PINK1 intron
human3040 PINK1-AS intron
human3042 PINK1-AS utr3
human3043 PINK1 utr3
human3045 PINK1 utr3
human3049 PINK1-AS utr3
human3050 PINK1-AS utr3
human3063 HP1BP3 utr3
human3067 HP1BP3 utr3
human3073 HP1BP3 intron
human3083 HP1BP3 utr3
human3094 HP1BP3 utr3
human3106 EIF4G3 utr3
chimp2720 EIF4G3 utr3
human3127 EIF4G3 cds
human3129 EIF4G3 cds
human3172 EIF4G3 utr3
human3280 EIF4G3 utr5
human3283 ECE1 utr3
human3325 USP48 utr3
chimp2955 USP48 utr3
human3372 USP48 utr3
human3424 HSPG2 utr3
chimp2992 HSPG2 intron
human3453 CDC42 intron
human3457 CDC42 intron
human3461 CDC42 intron
human3467 CDC42 utr3
chimp3025 CDC42 utr3
chimp3027 CDC42 utr3
human3469 CDC42 utr3
human3470 CDC42 utr3
human3517 ZBTB40 intron
chimp3070 ZBTB40 cds
human3522 ZBTB40 cds
human3530 ZBTB40 utr3
human3532 ZBTB40 utr3
human3534 ZBTB40 utr3
human3536 ZBTB40 utr3
human3548 KDM1A intron
human3552 KDM1A cds
human3568 KDM1A cds
human3575 KDM1A cds
human3576 KDM1A cds
human3588 KDM1A utr3
human3590 LUZP1 utr3
human3594 LUZP1 cds
human3595 LUZP1 cds
chimp3184 LINC01355 end
human3613 LINC01355 end
human3614 LINC01355 end
human3615 LINC01355 utr3
human3617 LINC01355 utr3
chimp3189 LINC01355 utr3
human3618 LINC01355 utr3
human3635 HNRNPR utr3
human3640 HNRNPR cds
human3642 HNRNPR cds
human3644 HNRNPR cds
human3645 HNRNPR intron
human3646 HNRNPR intron
human3649 HNRNPR cds
human3662 HNRNPR cds
human3668 HNRNPR utr5
human3678 E2F2 utr3
human3679 E2F2 utr3
human3686 ID3 utr3
human3696 RPL11 cds
human3699 RPL11 cds
human3704 RPL11 utr3
human3724 ELOA cds
human3725 ELOA cds
human3726 ELOA cds
human3727 ELOA cds
human3730 ELOA utr3
human3736 ELOA utr3
human3747 PITHD1 utr3
human3748 PITHD1 utr3
human3750 LYPLA2 utr3
chimp3306 GALE utr3
human3751 GALE utr3
human3754 HMGCL utr3
human3757 HMGCL intron
human3769 FUCA1 utr3
chimp3344 PNRC2 intron
human3821 PNRC2 utr5
human3822 PNRC2 cds
human3825 PNRC2 utr3
human3826 PNRC2 utr3
human3830 SRSF10 utr3
human3832 SRSF10 utr3
human3835 SRSF10 utr3
human3841 SRSF10 utr3
human3845 SRSF10 utr3
human3850 SRSF10 utr3
human3851 SRSF10 utr5
human3854 SRSF10 utr5
human3860 IFNLR1 end
human3861 IFNLR1 utr3
human3862 IFNLR1 utr3
human3863 IFNLR1 utr3
human3864 IFNLR1 cds
human3871 IFNLR1 intron
chimp3409 IFNLR1 intron
human3873 IFNLR1 intron
chimp3416 IFNLR1 intron
human3876 IFNLR1 intron
human3891 NIPAL3 cds
human3910 NIPAL3 intron
chimp3448 NIPAL3 intron
human3924 NIPAL3 intron
human3927 NIPAL3 utr3
human3930 NIPAL3 utr3
chimp3469 SRRM1 cds
human3934 SRRM1 cds
human3938 SRRM1 cds
human3939 SRRM1 cds
human3973 CLIC4 intron
chimp3513 CLIC4 intron
human3975 CLIC4 intron
chimp3516 CLIC4 intron
human4001 CLIC4 utr3
human4003 CLIC4 utr3
human4004 CLIC4 utr3
human4007 CLIC4 utr3
human4009 CLIC4 utr3
human4016 RUNX3 utr3
human4030 MIR6731 end
human4031 MIR6731 end
human4033 MIR6731 end
human4105 LOC105376879 utr5
human4106 LOC105376879 intron
human4108 LOC105376879 end
human4109 LOC105376879 end
human4116 SYF2 utr3
human4118 SYF2 cds
human4120 SYF2 cds
human4122 SYF2 cds
human4123 SYF2 cds
human4126 SYF2 cds
human4132 RSRP1 utr3
human4135 RSRP1 utr3
chimp3688 RSRP1 utr3
human4142 RSRP1 utr3
human4165 RSRP1 intron
human4173 TMEM50A intron
human4180 TMEM50A intron
human4181 TMEM50A utr3
human4182 TMEM50A utr3
chimp3703 TMEM50A utr3
human4184 TMEM50A utr3
human4185 TMEM50A utr3
human4191 MACO1 intron
human4196 MACO1 cds
human4197 MACO1 cds
human4205 MACO1 cds
human4207 MACO1 cds
chimp3742 MACO1 cds
human4208 MACO1 utr3
human4213 MACO1 end
chimp3751 MACO1 end
human4217 MACO1 utr3
human4222 LDLRAP1 cds
human4225 LDLRAP1 cds
chimp3769 LDLRAP1 intron
human4226 LDLRAP1 utr3
chimp3776 SELENON intron
chimp3778 SELENON utr3
human4230 SELENON utr3
human4238 MTFR1L utr3
human4239 AUNIP utr3
human4241 AUNIP utr3
human4247 AUNIP intron
human4248 PAQR7 utr3
human4249 PAQR7 utr3
human4253 PAQR7 intron
chimp3799 PAQR7 intron
human4257 PAQR7 intron
human4259 STMN1 utr3
human4261 STMN1 utr3
chimp3809 MIR3917 end
human4263 MIR3917 end
human4264 MIR3917 end
human4266 PAFAH2 end
human4268 PAFAH2 utr3
human4273 PAFAH2 intron
human4275 PAFAH2 cds
human4278 PAFAH2 intron
human4287 ZNF593 utr3
human4298 CEP85 cds
human4301 CEP85 cds
human4308 CEP85 utr3
human4309 CEP85 utr3
human4312 CEP85 utr3
human4314 SH3BGRL3 utr3
human4315 SH3BGRL3 utr3
human4329 CD52 utr3
human4341 DHDDS intron
human4360 DHDDS utr3
human4361 DHDDS utr3
human4366 DHDDS utr3
human4369 DHDDS end
human4370 DHDDS end
human4400 RPS6KA1 utr3
chimp3984 ARID1A intron
human4437 ARID1A intron
human4449 ARID1A cds
human4460 ARID1A cds
human4466 ARID1A utr3
human4470 PIGV utr5
human4475 PIGV intron
human4477 PIGV intron
human4480 PIGV utr3
human4481 PIGV utr3
human4503 ZDHHC18 utr3
human4508 GPN2 end
human4511 GPN2 utr3
human4512 GPN2 intron
human4514 GPN2 intron
human4515 GPN2 intron
human4518 GPATCH3 end
human4519 GPATCH3 utr3
human4534 NUDC cds
human4535 NUDC cds
human4539 NUDC utr3
human4540 NUDC utr3
human4543 SLC9A1 utr3
human4549 SLC9A1 intron
human4556 SLC9A1 intron
human4580 WDTC1 utr3
human4583 WDTC1 utr3
human4601 WASF2 utr3
human4618 WASF2 cds
human4646 WASF2 intron
human4654 WASF2 intron
human4658 AHDC1 utr3
human4671 AHDC1 intron
human4675 AHDC1 intron
human4676 AHDC1 intron
human4677 AHDC1 intron
human4679 AHDC1 intron
human4685 FGR utr3
human4707 FGR utr5
human4716 IFI6 utr3
human4720 IFI6 cds
human4722 FAM76A cds
human4723 FAM76A intron
chimp4237 FAM76A intron
human4725 FAM76A intron
human4729 FAM76A end
human4732 FAM76A utr3
human4734 FAM76A end
human4753 STX12 intron
chimp4265 STX12 intron
human4755 STX12 intron
human4770 STX12 utr3
human4771 STX12 utr3
human4772 STX12 utr3
human4773 STX12 utr3
human4784 PPP1R8 utr3
human4785 PPP1R8 utr3
human4793 THEMIS2 intron
human4801 THEMIS2 utr3
human4805 RPA2 utr3
human4810 RPA2 intron
human4818 XKR8 utr3
human4820 EYA3 utr3
human4849 EYA3 intron
human4861 EYA3 intron
human4862 EYA3 utr3
human4894 DNAJC8 utr3
human4896 DNAJC8 cds
human4898 DNAJC8 cds
human4899 DNAJC8 cds
human4901 DNAJC8 cds
human4904 DNAJC8 cds
human4907 DNAJC8 cds
human4908 ATP5IF1 utr3
human4909 ATP5IF1 utr3
human4910 ATP5IF1 utr3
human4926 MED18 intron
human4928 MED18 utr3
chimp4402 MED18 utr3
human4931 PHACTR4 intron
human4941 PHACTR4 intron
human4946 PHACTR4 intron
human4959 PHACTR4 cds
human4960 PHACTR4 cds
human4963 PHACTR4 cds
chimp4426 PHACTR4 cds
chimp4430 PHACTR4 utr3
human4971 PHACTR4 utr3
human4974 SNHG3 intron
human4977 SNHG3 intron
human4978 SNHG3 utr5
human4980 SNHG3 utr5
human4982 SNHG3 end
human4987 RCC1 intron
human4992 RCC1 utr3
chimp4448 RCC1 utr3
human4994 RCC1 utr3
chimp4450 RCC1 utr3
human4995 RCC1 utr3
human4997 RCC1 end
human5002 TRNAU1AP intron
human5007 TRNAU1AP utr3
human5009 TRNAU1AP utr3
human5010 SNHG12 utr3
human5013 SNHG12 utr3
human5014 SNHG12 utr3
human5016 SNHG12 utr3
human5023 TAF12 utr3
human5025 TAF12 cds
human5029 TAF12 intron
chimp4477 TAF12 intron
chimp4479 TAF12 cds
human5034 TAF12 intron
human5035 TAF12 utr5
human5036 TAF12 utr5
human5043 GMEB1 cds
human5046 GMEB1 cds
human5047 GMEB1 cds
human5048 GMEB1 intron
human5049 GMEB1 intron
human5052 GMEB1 utr3
human5056 GMEB1 end
human5057 GMEB1 end
human5058 GMEB1 end
human5061 YTHDF2 cds
human5066 YTHDF2 cds
human5077 YTHDF2 intron
human5085 YTHDF2 utr3
human5087 EPB41 utr5
chimp4536 EPB41 cds
human5104 EPB41 intron
human5105 EPB41 cds
human5131 EPB41 utr3
human5133 EPB41 utr3
human5138 SRSF4 utr3
human5141 SRSF4 cds
human5142 SRSF4 cds
human5147 SRSF4 cds
human5156 SRSF4 intron
human5158 SRSF4 intron
human5160 SRSF4 intron
human5177 MECR utr3
human5178 MECR utr3
human5179 MECR intron
human5183 MECR intron
human5184 MECR intron
human5185 MECR intron
human5187 MECR intron
human5188 MECR intron
human5190 MECR intron
human5211 LAPTM5 utr3
human5213 LAPTM5 utr3
human5214 MIR4420 end
human5218 MIR4420 end
human5219 MIR4420 end
human5221 MIR4420 end
human5222 MIR4420 end
human5225 LOC105378620 end
human5226 LOC105378620 end
chimp4633 LOC105378620 utr3
human5229 LOC105378620 utr3
human5230 LOC105378620 utr3
human5237 LOC105378620 utr3
human5251 PUM1 utr3
human5282 PUM1 intron
human5296 PUM1 cds
human5302 PUM1 cds
human5336 SNRNP40 utr3
human5337 SNRNP40 utr3
human5341 SNRNP40 intron
human5345 SNRNP40 intron
human5346 SNRNP40 intron
human5353 SNRNP40 intron
human5355 SNRNP40 intron
human5356 SNRNP40 intron
chimp4750 ZCCHC17 cds
chimp4751 ZCCHC17 cds
human5364 ZCCHC17 intron
human5373 ZCCHC17 cds
human5381 ZCCHC17 cds
human5400 ZCCHC17 utr3
human5414 SERINC2 utr3
human5475 PEF1 utr3
human5480 PEF1 intron
human5482 PEF1 intron
human5487 PTP4A2 utr3
human5492 PTP4A2 utr3
human5493 PTP4A2 utr3
human5494 PTP4A2 utr3
chimp4819 PTP4A2 utr3
human5528 KHDRBS1 cds
human5542 KHDRBS1 cds
human5544 KHDRBS1 cds
human5551 KHDRBS1 cds
human5561 KHDRBS1 utr3
human5571 KHDRBS1 end
human5575 TMEM39B intron
human5578 TMEM39B utr3
human5597 KPNA6 cds
human5610 KPNA6 utr3
human5612 KPNA6 end
human5619 TXLNA intron
human5622 TXLNA intron
human5628 TXLNA cds
chimp4959 TXLNA intron
human5634 TXLNA utr3
human5638 TMEM234 utr3
human5639 CCDC28B utr3
human5645 TMEM234 utr3
human5646 TMEM234 utr3
human5647 TMEM234 utr3
human5649 TMEM234 utr3
human5651 EIF3I cds
human5658 EIF3I utr3
human5708 HDAC1 cds
human5710 HDAC1 utr3
chimp5020 BSDC1 intron
human5734 BSDC1 intron
human5735 BSDC1 intron
chimp5028 BSDC1 intron
human5740 BSDC1 intron
human5741 BSDC1 intron
chimp5031 BSDC1 utr3
human5743 BSDC1 utr3
human5759 ZBTB8OS utr3
human5760 ZBTB8OS intron
human5761 ZBTB8OS intron
human5762 ZBTB8OS intron
human5763 ZBTB8OS intron
human5766 ZBTB8OS end
human5784 RBBP4 cds
human5785 RBBP4 cds
human5797 RBBP4 intron
human5802 RBBP4 utr3
chimp5080 RBBP4 utr3
human5818 YARS utr3
human5819 YARS utr3
human5820 YARS utr3
human5850 YARS intron
human5856 S100PBP intron
human5863 S100PBP utr5
human5864 S100PBP cds
human5865 S100PBP cds
human5887 S100PBP utr3
human5890 S100PBP utr3
human5892 S100PBP utr3
human5893 S100PBP end
human5907 RNF19B utr3
human5910 RNF19B intron
human5913 RNF19B cds
human5917 RNF19B intron
human5918 RNF19B intron
human5946 AK2 utr3
human5948 AK2 utr3
human5953 AK2 utr3
human5954 AK2 utr3
human5968 AZIN2 utr3
human5973 AZIN2 intron
human5974 AZIN2 intron
human5976 AZIN2 intron
human5977 AZIN2 intron
human5978 AZIN2 intron
human5983 AZIN2 intron
human5984 AZIN2 intron
human5997 PHC2 utr3
human6001 PHC2 intron
human6013 ZSCAN20 intron
human6016 ZSCAN20 cds
human6017 ZSCAN20 utr3
human6019 ZSCAN20 utr3
human6020 ZSCAN20 utr3
human6037 SMIM12 end
human6039 SMIM12 utr3
human6041 SMIM12 utr3
human6042 SMIM12 utr3
human6043 SMIM12 cds
human6058 ZMYM6 utr3
human6062 ZMYM6 cds
human6082 ZMYM6 intron
human6088 ZMYM6 intron
human6090 ZMYM6 intron
human6094 ZMYM1 intron
human6095 ZMYM1 intron
chimp5385 ZMYM1 intron
human6098 ZMYM1 cds
human6099 ZMYM1 utr3
human6100 ZMYM1 utr3
human6101 ZMYM1 utr3
human6102 ZMYM1 end
human6111 SFPQ utr3
human6127 SFPQ utr3
human6141 SFPQ utr3
chimp5463 ZMYM4 intron
human6214 ZMYM4 cds
human6217 ZMYM4 cds
human6221 ZMYM4 cds
human6233 ZMYM4 utr3
human6243 KIAA0319L utr3
human6255 KIAA0319L utr3
human6266 KIAA0319L utr3
human6338 NCDN utr3
human6341 NCDN end
human6353 PSMB2 utr3
human6354 PSMB2 utr3
human6356 PSMB2 utr3
human6358 PSMB2 intron
human6367 C1orf216 utr3
human6368 C1orf216 utr3
human6369 C1orf216 utr3
human6370 C1orf216 utr3
human6378 CLSPN utr3
human6382 CLSPN utr3
human6383 CLSPN utr3
human6384 CLSPN utr3
human6387 CLSPN utr3
human6392 CLSPN utr3
human6394 CLSPN utr3
human6395 CLSPN utr3
human6397 AGO4 intron
human6399 AGO4 intron
human6402 AGO4 intron
human6403 AGO4 intron
human6405 AGO4 intron
human6408 AGO4 intron
human6409 AGO4 utr3
chimp5633 AGO4 utr3
human6411 AGO4 utr3
human6413 AGO4 utr3
human6417 AGO4 utr3
human6439 AGO1 utr3
human6440 AGO1 utr3
human6441 AGO1 utr3
human6443 AGO1 utr3
human6446 AGO1 utr3
human6447 AGO1 utr3
human6454 AGO1 utr3
human6455 AGO1 utr3
chimp5676 AGO3 intron
human6475 AGO3 intron
human6479 AGO3 intron
human6483 AGO3 intron
human6508 AGO3 intron
human6514 AGO3 end
human6534 ADPRHL2 utr3
human6536 TRAPPC3 utr3
human6537 TRAPPC3 utr3
human6538 TRAPPC3 utr3
human6541 TRAPPC3 cds
human6546 MAP7D1 intron
human6549 MAP7D1 cds
human6552 MAP7D1 cds
human6555 MAP7D1 utr3
human6588 THRAP3 cds
human6590 THRAP3 cds
human6591 THRAP3 cds
human6599 THRAP3 cds
human6611 THRAP3 utr3
human6618 SH3D21 utr3
human6619 SH3D21 utr3
human6620 EVA1B utr3
human6621 SH3D21 end
human6626 STK40 utr3
human6628 STK40 utr3
human6633 STK40 intron
human6638 STK40 intron
human6649 LSM10 end
human6651 LSM10 utr3
human6666 MRPS15 utr3
human6667 MRPS15 cds
human6680 ZC3H12A utr3
human6683 MEAF6 utr3
human6684 MEAF6 utr3
human6685 MEAF6 utr3
human6686 MEAF6 intron
human6688 MEAF6 utr3
human6690 MEAF6 utr3
human6691 SNIP1 utr3
human6693 SNIP1 utr3
human6694 SNIP1 utr3
human6697 SNIP1 cds
human6698 SNIP1 cds
human6700 SNIP1 intron
human6703 SNIP1 intron
human6704 SNIP1 intron
human6706 SNIP1 intron
human6708 GNL2 utr3
human6709 GNL2 cds
human6710 GNL2 cds
human6711 GNL2 cds
